index,utc_iso,celestial_body,observer_latitude_deg,observer_longitude_deg,observer_elevation_m,azimuth_deg,elevation_deg,range_km,unit_east,unit_north,unit_up
0,2026-07-27T18:00:00Z,sun,39.759062,-104.62011683333333,1672.4,141.18973630282989,65.02889395429105,151902533.3130256,0.2645867254214494,-0.32895882921489134,0.9065207959072547
1,2026-07-27T18:01:30.023444Z,sun,39.759062,-104.62011683333333,1672.4,141.91688269266362,65.20799261536084,151902508.32385585,0.2586416001470271,-0.330058104127698,0.9078359821977839
2,2026-07-27T18:03:00.046887Z,sun,39.759062,-104.62011683333333,1672.4,142.65294543565042,65.38419184898426,151902483.52546796,0.2526853713676773,-0.3311324644463361,0.9091212207876763
3,2026-07-27T18:04:30.070331Z,sun,39.759062,-104.62011683333333,1672.4,143.39796899348977,65.55742695702524,151902458.9182144,0.2467182942231533,-0.3321818641963357,0.9103764564149628
4,2026-07-27T18:06:00.093774Z,sun,39.759062,-104.62011683333333,1672.4,144.15199010469448,65.72763250652429,151902434.50244096,0.24074062458395637,-0.3332062584258961,0.9116016350472071
5,2026-07-27T18:07:30.117218Z,sun,39.759062,-104.62011683333333,1672.4,144.91503732643838,65.89474240014638,151902410.27848402,0.23475261851018978,-0.3342056033010601,0.9127967039953551
6,2026-07-27T18:09:00.140662Z,sun,39.759062,-104.62011683333333,1672.4,145.68713044328862,66.05868992337919,151902386.2466723,0.22875453270498558,-0.3351798560272651,0.9139616118199196
7,2026-07-27T18:10:30.164105Z,sun,39.759062,-104.62011683333333,1672.4,146.4682799526195,66.21940781650211,151902362.40732664,0.22274662430484707,-0.33612897488656784,0.9150963083755176
8,2026-07-27T18:12:00.187549Z,sun,39.759062,-104.62011683333333,1672.4,147.25848654793856,66.37682835170102,151902338.76075855,0.21672915066798118,-0.33705291926979847,0.9162007448493165
9,2026-07-27T18:13:30.210992Z,sun,39.759062,-104.62011683333333,1672.4,148.05774051361885,66.53088339849128,151902315.3072723,0.210702369830545,-0.3379516496052276,0.9172748736757689
10,2026-07-27T18:15:00.234436Z,sun,39.759062,-104.62011683333333,1672.4,148.86602125268828,66.68150452153002,151902292.0471631,0.20466653996100848,-0.33882512744234755,0.9183186486367713
11,2026-07-27T18:16:30.257880Z,sun,39.759062,-104.62011683333333,1672.4,149.68329668773202,66.82862305845242,151902268.98071826,0.198621919817321,-0.33967331538296075,0.9193320247793119
12,2026-07-27T18:18:00.281323Z,sun,39.759062,-104.62011683333333,1672.4,150.50952275863867,66.97217022119209,151902246.10821694,0.1925687685354732,-0.34049617711399477,0.9203149584547056
13,2026-07-27T18:19:30.304767Z,sun,39.759062,-104.62011683333333,1672.4,151.34464293478788,67.11207720270295,151902223.42992935,0.18650734541628727,-0.3412936774352088,0.921267407351699
14,2026-07-27T18:21:00.328210Z,sun,39.759062,-104.62011683333333,1672.4,152.18858765154883,67.24827527406808,151902200.94611803,0.1804379103850744,-0.34206578219744976,0.9221893304227254
15,2026-07-27T18:22:30.351654Z,sun,39.759062,-104.62011683333333,1672.4,153.04127390655222,67.38069591104744,151902178.65703627,0.17436072344200673,-0.34281245837496643,0.9230806879702835
16,2026-07-27T18:24:00.375098Z,sun,39.759062,-104.62011683333333,1672.4,153.90260474208455,67.50927090331713,151902156.56293008,0.16827604512255193,-0.3435336740061058,0.9239414415761312
17,2026-07-27T18:25:30.398541Z,sun,39.759062,-104.62011683333333,1672.4,154.77246885092902,67.6339324847334,151902134.66403654,0.1621841362845211,-0.3442293982216748,0.9247715541351753
18,2026-07-27T18:27:00.421985Z,sun,39.759062,-104.62011683333333,1672.4,155.65074021925645,67.75461346817896,151902112.960584,0.15608525789336808,-0.34489960126819935,0.9255709898832168
19,2026-07-27T18:28:30.445428Z,sun,39.759062,-104.62011683333333,1672.4,156.53727771243663,67.8712473718851,151902091.45279336,0.14997967148510646,-0.34554425445578535,0.9263397143347656
20,2026-07-27T18:30:00.468872Z,sun,39.759062,-104.62011683333333,1672.4,157.4319248521131,67.98376857071261,151902070.14087585,0.1438676386128916,-0.3461633302189388,0.9270776943555941
21,2026-07-27T18:31:30.492316Z,sun,39.759062,-104.62011683333333,1672.4,158.33450949676075,68.09211243172356,151902049.02503526,0.1377494213105624,-0.3467568020668939,0.9277848981035131
22,2026-07-27T18:33:00.515759Z,sun,39.759062,-104.62011683333333,1672.4,159.2448436753716,68.19621546672911,151902028.105467,0.13162528187810593,-0.34732464460753043,0.928461295056914
23,2026-07-27T18:34:30.539203Z,sun,39.759062,-104.62011683333333,1672.4,160.16272348271409,68.29601548711787,151902007.38235706,0.12549548266608523,-0.34786683356610226,0.9291068560370761
24,2026-07-27T18:36:00.562647Z,sun,39.759062,-104.62011683333333,1672.4,161.08792894777918,68.39145175096874,151901986.85588396,0.11936028647262237,-0.34838334574843033,0.9297215531643349
25,2026-07-27T18:37:30.586090Z,sun,39.759062,-104.62011683333333,1672.4,162.02022406179063,68.48246512258078,151901966.52621773,0.1132199563281697,-0.3488741590621205,0.9303053598833803
26,2026-07-27T18:39:00.609534Z,sun,39.759062,-104.62011683333333,1672.4,162.9593568804377,68.5689982321578,151901946.39351904,0.10707475527951384,-0.3493392525325726,0.9308582509822941
27,2026-07-27T18:40:30.632977Z,sun,39.759062,-104.62011683333333,1672.4,163.90505959832237,68.65099562595411,151901926.4579412,0.10092494685593939,-0.3497786062664447,0.9313802025491144
28,2026-07-27T18:42:00.656421Z,sun,39.759062,-104.62011683333333,1672.4,164.8570488587395,68.72840393042289,151901906.71962816,0.09477079451189925,-0.3501922014938365,0.9318711920219894
29,2026-07-27T18:43:30.679865Z,sun,39.759062,-104.62011683333333,1672.4,165.8150259882475,68.80117200064298,151901887.17871594,0.08861256209386535,-0.35058002053421244,0.9323311981487008
30,2026-07-27T18:45:00.703308Z,sun,39.759062,-104.62011683333333,1672.4,166.77867741912718,68.86925107574767,151901867.8353322,0.08245051362411793,-0.3509420468131051,0.9327602010065328
31,2026-07-27T18:46:30.726752Z,sun,39.759062,-104.62011683333333,1672.4,167.74767519721877,68.93259492999435,151901848.6895953,0.07628491308404856,-0.3512782648735959,0.9331581820158654
32,2026-07-27T18:48:00.750195Z,sun,39.759062,-104.62011683333333,1672.4,168.7216774667124,68.99116001223452,151901829.74161616,0.07011602488196686,-0.3515886603495529,0.9335251239084882
33,2026-07-27T18:49:30.773639Z,sun,39.759062,-104.62011683333333,1672.4,169.70032919983072,69.04490559078356,151901810.99149618,0.06394411329380605,-0.35187321999612997,0.9338610107637132
34,2026-07-27T18:51:00.797083Z,sun,39.759062,-104.62011683333333,1672.4,170.68326284694962,69.09379388160686,151901792.43932903,0.0577694429316721,-0.3521319316654736,0.9341658279796508
35,2026-07-27T18:52:30.820526Z,sun,39.759062,-104.62011683333333,1672.4,171.67009917440848,69.13779017606178,151901774.08519974,0.0515922785267312,-0.35236478431889817,0.9344395622876401
36,2026-07-27T18:54:00.843970Z,sun,39.759062,-104.62011683333333,1672.4,172.6604481795183,69.17686295939811,151901755.9291843,0.04541288471197662,-0.35257176803382395,0.9346822017603845
37,2026-07-27T18:55:30.867413Z,sun,39.759062,-104.62011683333333,1672.4,173.65390996782364,69.21098401558893,151901737.971351,0.03923152649133867,-0.3527528739868168,0.9348937357920419
38,2026-07-27T18:57:00.890857Z,sun,39.759062,-104.62011683333333,1672.4,174.65007586227605,69.24012852891079,151901720.2117587,0.03304846867918447,-0.3529080944723634,0.9350741551202484
39,2026-07-27T18:58:30.914301Z,sun,39.759062,-104.62011683333333,1672.4,175.64852940841612,69.264275168474,151901702.65045854,0.02686397636946166,-0.3530374228884077,0.9352234518092094
40,2026-07-27T19:00:00.937744Z,sun,39.759062,-104.62011683333333,1672.4,176.64884754412506,69.28340616543389,151901685.28749293,0.0206783147184725,-0.3531408537439653,0.9353416192586467
41,2026-07-27T19:01:30.961188Z,sun,39.759062,-104.62011683333333,1672.4,177.6506018168628,69.2975073770838,151901668.12289527,0.014491748727356434,-0.3532183826615122,0.9354286522064676
42,2026-07-27T19:03:00.984631Z,sun,39.759062,-104.62011683333333,1672.4,178.65335952866633,69.30656833656334,151901651.15669116,0.008304543711600219,-0.3532700063698572,0.935484546720673
43,2026-07-27T19:04:31.008075Z,sun,39.759062,-104.62011683333333,1672.4,179.65668507837665,69.31058229208783,151901634.38889703,0.0021169647400544273,-0.35329572271117154,0.9355093002072616
44,2026-07-27T19:06:01.031519Z,sun,39.759062,-104.62011683333333,1672.4,180.6601411584641,69.3095462306809,151901617.81952116,-0.004070722895484946,-0.35329553063635255,0.9355029114051363
45,2026-07-27T19:07:31.054962Z,sun,39.759062,-104.62011683333333,1672.4,181.66329007542205,69.30346088969597,151901601.44856355,-0.010258253897769474,-0.35326943020808915,0.9354653803895796
46,2026-07-27T19:09:01.078406Z,sun,39.759062,-104.62011683333333,1672.4,182.66569507301773,69.29233075362565,151901585.27601483,-0.016445363181622322,-0.35321742259869354,0.9353967085694499
