index,utc_iso,celestial_body,observer_latitude_deg,observer_longitude_deg,observer_elevation_m,azimuth_deg,elevation_deg,range_km,unit_east,unit_north,unit_up
0,2026-07-27T18:00:00Z,moon,39.759062,-104.62011683333333,1672.4,19.28107192055223,-76.21709769480307,409917.49960768386,0.07866866856266023,0.22488058437723793,-0.9712054176932552
1,2026-07-27T18:01:30.023444Z,moon,39.759062,-104.62011683333333,1672.4,20.557109760075015,-76.1216131546461,409913.1558594409,0.0842252914426665,0.22458808486348625,-0.9708070315045876
2,2026-07-27T18:03:00.046887Z,moon,39.759062,-104.62011683333333,1672.4,21.816730676127463,-76.02045365184364,409908.6387425085,0.08977886358040545,0.22427322204291533,-0.970382026589889
3,2026-07-27T18:04:30.070331Z,moon,39.759062,-104.62011683333333,1672.4,23.059370305296788,-75.91374204792231,409903.9483514805,0.09532916991892136,0.22393600776622877,-0.9699304169827302
4,2026-07-27T18:06:00.093774Z,moon,39.759062,-104.62011683333333,1672.4,24.284534088993933,-75.80160419100689,409899.0847880159,0.10087599525911105,0.22357645473709079,-0.9694522177331265
5,2026-07-27T18:07:30.117218Z,moon,39.759062,-104.62011683333333,1672.4,25.49179586058461,-75.68416831289444,409894.0481600831,0.10641912476093125,0.2231945764815831,-0.9689474448670187
6,2026-07-27T18:09:00.140662Z,moon,39.759062,-104.62011683333333,1672.4,26.68079575402454,-75.56156446883304,409888.83858259703,0.11195834351920564,0.22279038737538298,-0.9684161154222716
7,2026-07-27T18:10:30.164105Z,moon,39.759062,-104.62011683333333,1672.4,27.851237845984162,-75.43392399363438,409883.4561770583,0.11749343675667774,0.22236390263237804,-0.967858247433581
8,2026-07-27T18:12:00.187549Z,moon,39.759062,-104.62011683333333,1672.4,29.002887457515765,-75.30137898810264,409877.90107154526,0.12302419001474084,0.22191513828896753,-0.9672738599121788
9,2026-07-27T18:13:30.210992Z,moon,39.759062,-104.62011683333333,1672.4,30.135568057135192,-75.16406185347036,409872.17340097605,0.12855038873205848,0.22144411123751467,-0.9666629728892402
10,2026-07-27T18:15:00.234436Z,moon,39.759062,-104.62011683333333,1672.4,31.24915814873904,-75.02210483907534,409866.2733067246,0.13407181874230725,0.2209508391858424,-0.9660256073635947
11,2026-07-27T18:16:30.257880Z,moon,39.759062,-104.62011683333333,1672.4,32.34358782059685,-74.875639648112,409860.20093689975,0.13958826585294495,0.2204353406926379,-0.9653617853477982
12,2026-07-27T18:18:00.281323Z,moon,39.759062,-104.62011683333333,1672.4,33.41883532706285,-74.7247970646106,409853.9564463829,0.14509951603620722,0.21989763515277694,-0.9646715298485151
13,2026-07-27T18:19:30.304767Z,moon,39.759062,-104.62011683333333,1672.4,34.474923621807534,-74.56970661536283,409847.53999643377,0.1506053556204651,0.21933774277736715,-0.9639548648415872
14,2026-07-27T18:21:00.328210Z,moon,39.759062,-104.62011683333333,1672.4,35.51191677159633,-74.41049628408373,409840.951755281,0.15610557086955804,0.2187556846359189,-0.9632118153256634
15,2026-07-27T18:22:30.351654Z,moon,39.759062,-104.62011683333333,1672.4,36.52991658369393,-74.24729223413324,409834.19189740147,0.1615999484792378,0.2181514826054817,-0.9624424072579812
16,2026-07-27T18:24:00.375098Z,moon,39.759062,-104.62011683333333,1672.4,37.52905912737211,-74.08021859000239,409827.26060418744,0.1670882751565854,0.21752515941531225,-0.9616466676105836
17,2026-07-27T18:25:30.398541Z,moon,39.759062,-104.62011683333333,1672.4,38.50951146881553,-73.9093972326452,409820.1580636674,0.17257033781175882,0.21687673862763057,-0.9608246243460759
18,2026-07-27T18:27:00.421985Z,moon,39.759062,-104.62011683333333,1672.4,39.47146852071534,-73.73494762352713,409812.88447017636,0.1780459237474466,0.21620624461407745,-0.9599763063882338
